InvoiceNo,InvoiceDate,CustomerID,TotalAmount,PaymentMode
544821,2/24/11 9:05,12971,109,Credit Card
544822,2/24/11 9:08,18231,291,Credit Card
544823,2/24/11 9:28,14004,900.02,Credit Card
544824,2/24/11 9:32,17139,2639.38,Debit Card
544825,2/24/11 9:32,15606,305.7,Credit Card
544826,2/24/11 9:36,14513,18.75,Debit Card
C544827,2/24/11 9:45,17147,-18.45,Debit Card
C544828,2/24/11 9:49,17147,-16.5,Debit Card
C544829,2/24/11 9:53,17314,-2.95,Cash
C544830,2/24/11 9:59,13118,-13.41,Bank Transfer
C544831,2/24/11 10:01,15146,-13.5,PayPal
544833,2/24/11 10:10,15974,769.24,Debit Card
544835,2/24/11 10:15,17830,188.5,Credit Card
544836,2/24/11 10:25,17613,310.71,Debit Card
544837,2/24/11 10:29,15910,161.41,Debit Card
544838,2/24/11 10:34,12565,145.92,Debit Card
544839,2/24/11 10:50,14841,596.79,Credit Card
C544840,2/24/11 11:06,16719,-16.5,PayPal
544846,2/24/11 11:11,16719,169.33,Credit Card
544847,2/24/11 11:15,16086,101.19,Credit Card
544885,2/24/11 11:38,14243,339.4,Debit Card
544886,2/24/11 11:42,12582,205.16,Mobile Payments
544887,2/24/11 11:54,17364,504.56,Credit Card
544888,2/24/11 11:55,14231,308.95,Credit Card
544892,2/24/11 12:00,14527,77.95,Debit Card
544893,2/24/11 12:01,17865,596.24,Debit Card
544894,2/24/11 12:09,15805,553.76,Credit Card
544895,2/24/11 12:22,14189,214.71,Credit Card
544896,2/24/11 12:25,17867,25.5,Cash
544898,2/24/11 12:27,14880,129.2,Debit Card
C544897,2/24/11 12:27,17867,-12.75,Credit Card
544899,2/24/11 12:32,13118,190.93,Credit Card
544900,2/24/11 12:41,15121,295.15,PayPal
C544901,2/24/11 13:02,15078,-55.05,Debit Card
C544902,2/24/11 13:05,12362,-4.9,Credit Card
544903,2/24/11 13:43,18065,405.03,PayPal
544904,2/24/11 13:46,13018,311.25,Credit Card
544905,2/24/11 13:54,17117,116.2,Credit Card
544906,2/24/11 14:13,17017,528.32,Credit Card
544907,2/24/11 14:15,12945,462.95,Credit Card
544908,2/24/11 14:27,18056,363.65,Bank Transfer
544909,2/24/11 14:32,14298,1991.26,Credit Card
544910,2/24/11 14:32,16072,584.32,Credit Card
544911,2/24/11 15:01,16838,392.12,Debit Card
544912,2/24/11 15:12,18198,303.22,Credit Card
544913,2/24/11 15:26,15543,126.16,Bank Transfer
544914,2/24/11 15:39,16722,314.36,Debit Card
544915,2/24/11 15:41,13777,179.04,Check
544916,2/24/11 15:42,17377,132.17,Credit Card
544917,2/24/11 15:56,13751,296.25,Check
544918,2/24/11 16:30,13081,836.24,Credit Card
544919,2/24/11 16:31,13725,147.3,Mobile Payments
544920,2/24/11 16:31,13081,736.95,Debit Card
544921,2/24/11 16:35,17090,400.8,Debit Card
544922,2/24/11 16:46,15847,180.68,Credit Card
544923,2/24/11 17:14,12877,79.2,Bank Transfer
544924,2/24/11 17:18,13851,246.32,Credit Card
544925,2/24/11 17:28,16997,234,Mobile Payments
544926,2/24/11 17:50,13468,105.2,PayPal
544927,2/24/11 18:02,13771,0.85,Credit Card
544928,2/24/11 18:07,18260,1321.35,Credit Card
544929,2/24/11 18:14,15189,310.92,Credit Card
544930,2/24/11 18:26,17472,185.61,Cash
544931,2/24/11 18:59,13501,1340.32,Debit Card
544932,2/25/11 8:14,16133,307.2,Credit Card
544933,2/25/11 8:44,12633,1012.82,Mobile Payments
544934,2/25/11 9:01,13345,389.5,Cash
544935,2/25/11 9:09,13870,544.03,Debit Card
544936,2/25/11 9:37,15769,1295.4,Cash
544937,2/25/11 10:09,12839,351.56,Credit Card
544938,2/25/11 10:10,13470,186.95,PayPal
544939,2/25/11 10:10,17034,141.8,Debit Card
544940,2/25/11 10:19,16592,455.28,PayPal
544941,2/25/11 10:25,12841,169.94,Mobile Payments
544942,2/25/11 10:29,15544,365.1,Bank Transfer
544943,2/25/11 10:39,15845,929.22,Debit Card
544944,2/25/11 10:46,14541,287.3,Bank Transfer
544945,2/25/11 10:53,17735,847.38,Debit Card
544968,2/25/11 11:30,13458,676.92,Credit Card
544969,2/25/11 11:32,15712,299.8,Credit Card
544970,2/25/11 11:33,13362,812.7,PayPal
544996,2/25/11 11:53,12474,287.58,Credit Card
544998,2/25/11 11:56,14470,297.64,Debit Card
544999,2/25/11 12:28,17388,381.6,PayPal
545000,2/25/11 12:37,15281,234.15,Mobile Payments
545001,2/25/11 12:40,16841,317.38,PayPal
545002,2/25/11 12:43,13001,278.28,Credit Card
C545003,2/25/11 12:46,18231,-17.1,Debit Card
545004,2/25/11 12:48,13753,741.26,PayPal
545011,2/25/11 13:05,13666,43.65,Credit Card
545012,2/25/11 13:08,13666,20.4,Bank Transfer
545013,2/25/11 13:09,13093,467.52,Bank Transfer
545014,2/25/11 13:15,18223,502.85,Debit Card
545015,2/25/11 13:40,13742,176.05,Check
545016,2/25/11 13:51,16473,68.4,Credit Card
545017,2/25/11 13:51,12361,189.9,Debit Card
545018,2/25/11 13:53,14481,302.86,Mobile Payments
545019,2/25/11 13:56,15093,759.08,Bank Transfer
545020,2/25/11 14:03,13792,74.6,Cash
545021,2/25/11 14:11,17663,371.39,Credit Card
545022,2/25/11 14:24,12921,522.75,Debit Card
545023,2/25/11 14:25,12921,678.15,Debit Card
545024,2/25/11 14:38,14547,304.73,PayPal
545025,2/25/11 14:40,17412,545.87,Debit Card
545026,2/25/11 14:51,15939,247.8,PayPal
545027,2/25/11 14:59,14748,1180.5,PayPal
545028,2/25/11 15:21,13973,264.7,Bank Transfer
545029,2/25/11 15:27,14541,69,Bank Transfer
545030,2/25/11 15:32,13798,532.72,Credit Card
545031,2/25/11 15:35,15990,401.37,Mobile Payments
545032,2/25/11 15:37,14051,476.8,Debit Card
C545033,2/25/11 16:26,14156,-2548.8,Credit Card
545034,2/25/11 16:42,13493,179.35,Mobile Payments
545035,2/25/11 17:03,15078,430.26,Bank Transfer
545036,2/25/11 17:25,14573,168.6,Debit Card
545037,2/27/11 10:02,14532,386.9,Debit Card
545038,2/27/11 10:13,13684,65.13,Credit Card
545039,2/27/11 10:22,17243,344.05,Debit Card
C545040,2/27/11 10:25,13684,-3,Debit Card
545041,2/27/11 10:30,14952,524.95,Bank Transfer
545042,2/27/11 10:41,13261,845.1,Debit Card
545043,2/27/11 11:05,16407,197.15,Bank Transfer
545044,2/27/11 11:31,15738,333.92,Bank Transfer
545045,2/27/11 11:40,15708,562.46,Debit Card
545046,2/27/11 11:42,16598,145.05,Debit Card
545047,2/27/11 11:42,14147,182.8,Debit Card
545048,2/27/11 11:48,14810,180.65,Credit Card
545049,2/27/11 11:53,15046,109.85,Credit Card
545050,2/27/11 11:57,15951,375.17,Cash
545051,2/27/11 11:58,12599,110.6,Bank Transfer
545052,2/27/11 12:27,13971,333.48,Credit Card
545053,2/27/11 12:41,17516,311.58,PayPal
545054,2/27/11 12:41,14472,393.75,Credit Card
545055,2/27/11 12:45,17516,6.6,Debit Card
545056,2/27/11 12:48,16745,486.65,Credit Card
545057,2/27/11 12:49,13630,299.14,Check
545058,2/27/11 13:03,13767,317.87,PayPal
545059,2/27/11 13:04,14157,265.93,Credit Card
545060,2/27/11 13:47,15547,372.44,PayPal
545061,2/27/11 13:52,15547,14.95,Mobile Payments
545062,2/27/11 14:07,12748,267.2,Bank Transfer
545063,2/27/11 14:26,14606,134.72,Credit Card
545064,2/27/11 14:29,13636,154.5,PayPal
545065,2/27/11 14:43,12431,412.55,PayPal
545066,2/27/11 14:44,13610,230.76,PayPal
545067,2/27/11 14:49,17894,254.2,Bank Transfer
C545068,2/27/11 15:07,14157,-32.45,Debit Card
545069,2/27/11 15:25,14745,240.6,Debit Card
545070,2/27/11 15:42,16493,240,Credit Card
545071,2/27/11 15:59,15996,210.09,Debit Card
545072,2/28/11 8:43,12781,549.26,Debit Card
545073,2/28/11 9:26,14036,626.65,Credit Card
545074,2/28/11 9:28,17655,306.7,Credit Card
545075,2/28/11 9:33,14211,319.9,Credit Card
545076,2/28/11 9:43,15235,147.9,Debit Card
545077,2/28/11 10:07,14616,10.08,Credit Card
545078,2/28/11 10:15,13345,899.96,Debit Card
545079,2/28/11 10:30,18283,100.95,Cash
545080,2/28/11 10:33,13004,301.91,Debit Card
545081,2/28/11 10:35,16057,683.98,Debit Card
545082,2/28/11 10:37,16992,421.6,Mobile Payments
545083,2/28/11 10:40,15724,103.65,Debit Card
545084,2/28/11 10:55,12458,441.92,Mobile Payments
545085,2/28/11 11:19,15039,874.03,Debit Card
545086,2/28/11 11:43,12678,353.43,Debit Card
545087,2/28/11 11:46,16422,513.45,Debit Card
545103,2/28/11 11:57,15039,11.9,Mobile Payments
545105,2/28/11 11:58,12598,720.86,Debit Card
545140,2/28/11 12:08,12464,149.95,Credit Card
545148,2/28/11 12:14,13675,308.44,Debit Card
545149,2/28/11 12:19,15062,251.9,Credit Card
545150,2/28/11 12:27,14227,736.7,Credit Card
545151,2/28/11 12:46,16668,50.76,Credit Card
545152,2/28/11 12:47,15227,306.84,PayPal
545153,2/28/11 12:57,16667,200.4,Bank Transfer
545154,2/28/11 13:09,12921,425.5,Debit Card
545155,2/28/11 13:25,14527,122,Debit Card
545156,2/28/11 13:27,13509,209.32,Bank Transfer
545157,2/28/11 13:27,14239,205.38,Credit Card
545158,2/28/11 13:28,15874,584.35,Debit Card
545159,2/28/11 13:31,12748,13.05,Debit Card
545160,2/28/11 13:31,12910,48,Debit Card
545161,2/28/11 13:34,16187,195,Mobile Payments
545162,2/28/11 13:35,16187,480.9,Credit Card
545163,2/28/11 13:39,16607,216.05,Cash
545164,2/28/11 13:40,16458,173.7,Debit Card
545165,2/28/11 13:41,16339,91.15,Debit Card
545166,2/28/11 14:03,17027,229.93,Mobile Payments
545170,2/28/11 14:15,14078,170.05,Credit Card
545176,2/28/11 14:19,15660,764.12,Credit Card
545180,2/28/11 14:42,12728,200.72,Credit Card
545181,2/28/11 14:45,12509,176.5,Debit Card
545182,2/28/11 14:48,14046,154.99,Debit Card
545183,2/28/11 14:59,15570,314.9,Bank Transfer
545184,2/28/11 15:00,13292,249.57,Credit Card
545185,2/28/11 15:04,16027,79.2,Debit Card
545186,2/28/11 15:05,17841,229.9,Mobile Payments
545187,2/28/11 15:18,16427,109.8,Debit Card
545188,2/28/11 15:19,14056,537.5,Cash
C545189,2/28/11 15:19,17841,-1.95,Credit Card
545190,2/28/11 15:32,15656,242.95,Credit Card
545191,2/28/11 15:39,12811,240.25,Bank Transfer
545213,2/28/11 16:36,16518,190.7,PayPal
545214,2/28/11 16:39,17165,158.68,Debit Card
545215,2/28/11 16:47,13026,1948.17,PayPal
545216,2/28/11 16:50,13881,1488.78,Bank Transfer
545217,2/28/11 16:59,13802,1403.08,Mobile Payments
545218,2/28/11 17:01,17462,463.41,Debit Card
545220,3/1/11 8:30,14620,235.35,PayPal
545221,3/1/11 8:35,14740,521.1,Debit Card
545222,3/1/11 8:49,13880,200.1,Mobile Payments
545223,3/1/11 8:58,16462,34,Debit Card
545224,3/1/11 9:03,17068,182.7,Debit Card
545225,3/1/11 9:22,12971,161.8,Mobile Payments
545226,3/1/11 9:33,12428,1943.4,Credit Card
545227,3/1/11 9:35,12428,2474.62,Debit Card
545228,3/1/11 9:47,16078,79.2,Cash
545229,3/1/11 9:52,16915,54.3,Debit Card
545230,3/1/11 9:55,14737,20.64,Debit Card
545231,3/1/11 10:08,15194,307.62,Debit Card
545232,3/1/11 10:19,15676,897.8,Debit Card
545233,3/1/11 10:25,18044,72.12,Debit Card
545234,3/1/11 10:26,18075,256.85,Credit Card
545235,3/1/11 10:31,12683,352.2,Debit Card
545236,3/1/11 10:32,13762,0,Mobile Payments
545237,3/1/11 10:38,15709,133.25,Mobile Payments
545238,3/1/11 11:02,15241,395.33,Credit Card
545276,3/1/11 11:30,12933,103.25,Bank Transfer
C545277,3/1/11 11:31,12933,-1.25,PayPal
545279,3/1/11 11:36,17811,122.5,PayPal
545287,3/1/11 11:42,15971,117,Credit Card
545288,3/1/11 11:48,15311,1390.06,Credit Card
545289,3/1/11 11:55,14732,470.88,Bank Transfer
545290,3/1/11 12:01,14688,209.05,Debit Card
545294,3/1/11 12:07,17965,313.58,Credit Card
545295,3/1/11 12:09,12709,762.5,Debit Card
545299,3/1/11 12:19,17226,4.95,Cash
545300,3/1/11 12:24,15092,323.16,Check
545301,3/1/11 12:26,12679,794.06,Mobile Payments
545302,3/1/11 12:46,14506,297.16,Debit Card
545303,3/1/11 12:48,15319,204.5,Debit Card
545304,3/1/11 12:51,16212,498.15,Credit Card
545305,3/1/11 12:58,15257,317.15,Check
545306,3/1/11 13:04,17027,13.2,Bank Transfer
C545307,3/1/11 13:05,17027,-41.7,Check
545308,3/1/11 13:19,14656,133.11,Credit Card
545309,3/1/11 13:40,13884,138.15,Credit Card
545310,3/1/11 13:45,15456,17.67,PayPal
545311,3/1/11 13:45,15660,155,Mobile Payments
545312,3/1/11 13:51,15456,185.7,Mobile Payments
545313,3/1/11 13:55,15953,242.03,Debit Card
545314,3/1/11 14:11,12866,559.12,PayPal
545315,3/1/11 14:14,15980,231.06,Credit Card
545316,3/1/11 14:14,16589,116.79,Credit Card
545317,3/1/11 14:14,12429,580.41,Debit Card
545318,3/1/11 14:26,14676,556.32,Mobile Payments
545319,3/1/11 14:42,16839,412.32,Debit Card
545320,3/1/11 14:47,14156,2541.15,Debit Card
545321,3/1/11 14:53,12747,310.78,Credit Card
545322,3/1/11 14:56,13599,580.57,Mobile Payments
545323,3/1/11 14:57,12352,144.35,Debit Card
545324,3/1/11 14:58,13110,268.6,Credit Card
545325,3/1/11 15:01,16525,329.34,Debit Card
545326,3/1/11 15:12,14560,34.75,Debit Card
545327,3/1/11 15:16,13166,399.15,Credit Card
545328,3/1/11 15:47,16389,119.65,Credit Card
C545329,3/1/11 15:47,12352,-280.05,Mobile Payments
545331,3/1/11 15:49,17961,2.5,Check
C545330,3/1/11 15:49,12352,-376.5,Credit Card
545332,3/1/11 15:52,12352,376.5,Credit Card
545333,3/1/11 16:22,13358,1677.62,PayPal
545334,3/1/11 16:34,15750,261.25,Credit Card
545336,3/1/11 16:53,12428,551.2,Credit Card
545337,3/1/11 17:28,15984,217.05,Bank Transfer
545338,3/1/11 17:32,17449,335.39,Credit Card
545339,3/2/11 8:26,14292,463,Debit Card
545340,3/2/11 8:41,15416,1375.24,Credit Card
545341,3/2/11 9:03,17949,1642.5,Credit Card
545342,3/2/11 9:04,13497,194.55,Credit Card
545343,3/2/11 9:05,15733,162.3,Credit Card
545344,3/2/11 9:24,16678,312.18,Mobile Payments
545345,3/2/11 9:33,14180,382.1,Bank Transfer
545346,3/2/11 9:49,12834,312.38,Mobile Payments
545347,3/2/11 10:20,13094,76.32,Debit Card
545348,3/2/11 10:49,12913,134.97,Debit Card
545349,3/2/11 11:07,18118,172.6,Credit Card
545377,3/2/11 11:32,14606,122.07,Debit Card
545398,3/2/11 11:43,13722,1463.47,Debit Card
545399,3/2/11 11:48,14934,828.84,Bank Transfer
545400,3/2/11 12:03,17048,501.99,Debit Card
545401,3/2/11 12:03,15856,0,Credit Card
545408,3/2/11 12:10,15067,848.05,Cash
545410,3/2/11 12:18,16670,615.33,Credit Card
545411,3/2/11 12:21,16128,388.3,Debit Card
545412,3/2/11 12:24,15061,597.81,Credit Card
545413,3/2/11 12:24,15061,255,Debit Card
545414,3/2/11 12:43,12980,838.8,PayPal
545415,3/2/11 13:03,15641,453.79,Credit Card
545416,3/2/11 13:35,17770,603.17,Debit Card
545417,3/2/11 13:42,15622,576,Debit Card
545418,3/2/11 13:56,14473,85,Mobile Payments
545419,3/2/11 14:16,15104,374.64,Debit Card
C545421,3/2/11 14:28,13166,-2.5,Credit Card
545423,3/2/11 14:34,15643,337.1,Credit Card
545424,3/2/11 14:34,14582,3.8,Credit Card
545425,3/2/11 14:39,16792,89.18,Bank Transfer
545426,3/2/11 14:41,15189,276.66,Credit Card
545427,3/2/11 14:41,16792,9.95,PayPal
545428,3/2/11 14:43,14239,430.5,Credit Card
545429,3/2/11 14:46,15031,150.83,Credit Card
545430,3/2/11 14:50,15636,306.7,PayPal
545431,3/2/11 14:58,12873,374,Credit Card
545433,3/2/11 15:15,17923,207.5,Bank Transfer
C545432,3/2/11 15:15,14657,-9.95,Debit Card
C545434,3/2/11 15:24,13410,-5.85,Credit Card
545435,3/2/11 15:28,16217,183,Check
C545436,3/2/11 15:52,13093,-18.25,PayPal
C545437,3/2/11 15:52,13093,-10.95,Credit Card
C545438,3/2/11 15:54,14231,-23.75,PayPal
C545439,3/2/11 15:58,14243,-15,Credit Card
C545440,3/2/11 16:03,16843,-12.75,Mobile Payments
545441,3/2/11 16:17,14657,108.32,Credit Card
C545442,3/2/11 16:17,17063,-9.95,PayPal
C545443,3/2/11 16:20,17442,-12.6,Credit Card
C545444,3/2/11 16:24,13767,-12.6,Mobile Payments
545445,3/2/11 16:26,17738,779.92,Debit Card
C545446,3/2/11 16:33,12753,-43.39,Debit Card
545447,3/2/11 16:34,17426,1193.88,Credit Card
545448,3/2/11 16:35,12753,15.3,Debit Card
C545449,3/2/11 16:38,16573,-10.25,PayPal
C545450,3/2/11 16:46,16839,-15.9,Bank Transfer
C545451,3/2/11 16:53,13477,-7.95,Debit Card
C545452,3/2/11 16:56,16422,-9.3,Bank Transfer
C545453,3/2/11 16:57,14639,-21.2,Check
C545454,3/2/11 17:04,15189,-92.55,Credit Card
C545455,3/2/11 17:11,16473,-1.25,Debit Card
C545456,3/2/11 17:15,17865,-13.4,Credit Card
C545457,3/2/11 17:18,17428,-40.05,Debit Card
C545458,3/2/11 17:19,13018,-4.95,Mobile Payments
545459,3/2/11 17:21,17576,136.12,Bank Transfer
545460,3/2/11 17:32,13230,254.88,Gift Card
545461,3/3/11 8:24,14388,401.45,Debit Card
545462,3/3/11 8:24,17567,535.38,Bank Transfer
545463,3/3/11 8:36,13784,96.75,Credit Card
545464,3/3/11 9:10,18085,1717.12,Debit Card
545465,3/3/11 9:25,16957,114.84,PayPal
545466,3/3/11 9:26,18102,1396,Debit Card
545467,3/3/11 9:39,15304,105.45,Credit Card
545468,3/3/11 9:41,16571,436.68,Debit Card
545469,3/3/11 10:09,17646,345.85,PayPal
545470,3/3/11 10:26,14483,137.1,Debit Card
545471,3/3/11 10:34,15087,306.94,Debit Card
545474,3/3/11 10:55,16709,1120.53,Check
545475,3/3/11 10:59,12415,16726.84,Credit Card
C545476,3/3/11 11:05,14527,-30.38,PayPal
545477,3/3/11 11:07,14573,134.5,Cash
C545478,3/3/11 11:08,16422,-7.2,Cash
C545502,3/3/11 11:33,15078,-19.5,Credit Card
545503,3/3/11 11:34,15719,183.65,Credit Card
C545504,3/3/11 11:35,13630,-14.4,Credit Card
545505,3/3/11 11:40,17856,482.81,Credit Card
C545506,3/3/11 11:42,14438,-10.2,Credit Card
C545507,3/3/11 11:43,12565,-14.75,Debit Card
C545508,3/3/11 11:53,17017,-5.9,Debit Card
C545509,3/3/11 11:54,17017,-4.25,PayPal
C545510,3/3/11 11:56,15281,-25.8,Debit Card
C545511,3/3/11 11:57,18198,-0.65,Credit Card
545512,3/3/11 12:00,17389,124.68,Debit Card
C545513,3/3/11 12:02,15932,-7.65,Bank Transfer
545514,3/3/11 12:06,15053,217.61,PayPal
545515,3/3/11 12:06,12727,534.76,Check
C545516,3/3/11 12:11,14276,-76.3,Credit Card
545517,3/3/11 12:20,12727,38.4,Debit Card
545518,3/3/11 12:24,18218,289.22,Debit Card
545519,3/3/11 12:27,16159,348.2,Debit Card
545521,3/3/11 12:30,17995,76.1,PayPal
C545520,3/3/11 12:30,14744,-2.95,Credit Card
545522,3/3/11 12:35,15596,303.03,Cash
545523,3/3/11 12:41,14524,186.2,Credit Card
545524,3/3/11 12:53,17374,191.95,Debit Card
C545525,3/3/11 13:11,12415,-168.7,PayPal
545526,3/3/11 13:14,17789,225.9,Debit Card
C545529,3/3/11 13:26,16191,-1.65,PayPal
545530,3/3/11 13:45,17416,2114.71,Credit Card
C545531,3/3/11 13:45,17675,-9.95,Check
C545532,3/3/11 13:57,15257,-85,Credit Card
545533,3/3/11 14:04,12524,475.44,Credit Card
545534,3/3/11 14:05,17652,222.3,Credit Card
545535,3/3/11 14:09,13199,73.92,Credit Card
545536,3/3/11 14:12,12417,410,Credit Card
C545537,3/3/11 14:14,16212,-9.15,Check
545543,3/3/11 14:43,13476,727.6,Bank Transfer
545544,3/3/11 14:56,14057,294.33,Bank Transfer
545545,3/3/11 15:02,17841,186.69,PayPal
545546,3/3/11 15:03,15257,0,Credit Card
545550,3/3/11 15:11,18041,148.49,Credit Card
545555,3/3/11 15:17,17757,137.62,Credit Card
C545556,3/3/11 15:21,15005,-10.9,Credit Card
545557,3/3/11 15:30,12500,249.84,Credit Card
545558,3/3/11 15:31,17873,485.78,Credit Card
545559,3/3/11 15:31,15005,287.22,Credit Card
545568,3/3/11 16:22,16754,1799.38,Credit Card
C545569,3/3/11 16:25,14239,-56.1,Credit Card
545570,3/3/11 16:28,12817,166.04,Bank Transfer
545571,3/3/11 16:34,17700,602.61,Credit Card
545573,3/3/11 16:58,15393,124.1,Gift Card
545574,3/3/11 18:16,13959,122.7,PayPal
545575,3/3/11 18:28,13014,515.38,Check
545576,3/3/11 18:46,15611,99.75,PayPal
545577,3/3/11 19:18,14702,161.5,Bank Transfer
545578,3/3/11 19:21,13715,137.49,Debit Card
545579,3/4/11 8:10,17508,387.31,Credit Card
545580,3/4/11 8:43,13931,378.21,PayPal
545581,3/4/11 9:03,16433,733.78,Debit Card
545582,3/4/11 9:05,13694,3547.34,Debit Card
545583,3/4/11 9:08,12553,317.25,Credit Card
545584,3/4/11 9:11,13347,7.95,Credit Card
545585,3/4/11 9:32,12541,312.4,Debit Card
545586,3/4/11 9:44,13047,44.85,Debit Card
545587,3/4/11 9:46,14796,278.99,Mobile Payments
545588,3/4/11 10:03,13382,222.99,Debit Card
545589,3/4/11 10:21,17001,333.2,Debit Card
545590,3/4/11 10:24,15220,316.11,Mobile Payments
545591,3/4/11 10:28,17581,356.9,Credit Card
545592,3/4/11 10:30,17581,369.95,Credit Card
545593,3/4/11 10:31,17581,102.4,Debit Card
545595,3/4/11 10:39,14570,167.91,Check
545596,3/4/11 10:49,14447,265,Bank Transfer
545597,3/4/11 10:58,14570,50.15,Debit Card
545601,3/4/11 11:49,15827,152,Check
545602,3/4/11 11:49,17315,109.16,Credit Card
545603,3/4/11 11:49,15827,38.1,Debit Card
545630,3/4/11 12:06,14466,332.4,PayPal
545634,3/4/11 12:12,14911,308.18,Debit Card
545635,3/4/11 12:14,13557,240.68,Credit Card
545636,3/4/11 12:15,16449,416.69,Credit Card
545637,3/4/11 12:16,15514,292.03,Debit Card
545638,3/4/11 12:26,13113,235.91,Debit Card
C545639,3/4/11 12:28,13113,-10.95,Debit Card
545644,3/4/11 12:37,16333,1920.48,Credit Card
545645,3/4/11 12:42,12755,17.55,Credit Card
545646,3/4/11 12:42,14779,38,Check
545647,3/4/11 12:46,12547,159.4,Credit Card
545648,3/4/11 13:09,17325,96.8,Credit Card
545649,3/4/11 13:14,14995,119.31,PayPal
C545650,3/4/11 13:14,15311,-20.98,Cash
545652,3/4/11 13:27,16414,50.8,Debit Card
545653,3/4/11 13:39,15311,935.54,PayPal
545654,3/4/11 13:46,15681,345.68,Debit Card
545655,3/4/11 13:58,14670,95.66,Credit Card
545656,3/4/11 13:58,14057,99,Debit Card
545657,3/4/11 14:02,14911,877.31,Credit Card
545658,3/4/11 14:13,14670,285.87,Mobile Payments
545659,3/4/11 14:21,15675,45,Bank Transfer
545660,3/4/11 14:28,17191,304.87,Debit Card
545661,3/4/11 14:41,15358,829.85,Credit Card
545662,3/4/11 14:42,15358,208.2,Debit Card
545663,3/4/11 14:52,13491,162.08,Debit Card
545664,3/4/11 15:15,12584,463.63,Debit Card
545665,3/4/11 15:20,17535,164.4,Mobile Payments
545667,3/4/11 16:07,13356,1397.75,Debit Card
545668,3/4/11 17:02,14031,532.13,Bank Transfer
545669,3/6/11 10:05,17243,157.8,Credit Card
545670,3/6/11 10:07,15465,292.75,Debit Card
C545671,3/6/11 10:08,15465,-76.65,Debit Card
C545672,3/6/11 10:13,15304,-4.95,Debit Card
C545673,3/6/11 10:14,14745,-53.1,PayPal
C545674,3/6/11 10:25,18223,-6.15,Check
545675,3/6/11 10:26,18223,15,Credit Card
545676,3/6/11 10:26,15034,246.76,Debit Card
C545677,3/6/11 10:48,14543,-246.15,Credit Card
C545678,3/6/11 10:49,16678,-2.5,PayPal
C545679,3/6/11 11:07,16923,-1.25,Mobile Payments
545680,3/6/11 11:27,15400,346.1,Debit Card
545681,3/6/11 11:28,16923,610.78,Mobile Payments
545682,3/6/11 11:39,14701,253.37,Debit Card
545683,3/6/11 11:50,14903,526.58,Credit Card
545684,3/6/11 11:52,15606,279.8,Debit Card
545685,3/6/11 11:55,14499,121.61,PayPal
545686,3/6/11 12:09,18211,137.9,PayPal
545687,3/6/11 12:20,17769,479.31,PayPal
545688,3/6/11 12:42,16033,630.22,Credit Card
C545689,3/6/11 12:43,16033,-5.64,Credit Card
545690,3/6/11 12:46,13263,414.03,Credit Card
545691,3/6/11 12:52,14161,263.04,Bank Transfer
545692,3/6/11 12:58,17428,510.7,Debit Card
545693,3/6/11 14:09,16422,796.86,PayPal
545694,3/6/11 14:10,16422,120,Bank Transfer
545695,3/6/11 14:15,17050,818.87,Debit Card
545696,3/6/11 14:21,15696,221.2,Debit Card
545697,3/6/11 14:38,14504,147.23,Debit Card
545698,3/6/11 14:44,15572,225.14,Debit Card
545699,3/6/11 14:50,15572,220.77,Credit Card
545700,3/6/11 14:57,17811,165.9,Bank Transfer
545701,3/6/11 15:17,17107,1674.96,Mobile Payments
545702,3/6/11 15:21,14247,131.82,Cash
545703,3/6/11 16:05,14465,7.95,Cash
545704,3/7/11 8:30,16638,215.55,Cash
545705,3/7/11 9:00,15554,217.2,Credit Card
545706,3/7/11 9:10,12712,219.3,Gift Card
545707,3/7/11 9:35,13881,673.9,PayPal
545708,3/7/11 9:39,14915,142.28,Debit Card
545709,3/7/11 9:49,12708,282.66,Mobile Payments
545710,3/7/11 9:52,13117,90.6,Debit Card
545711,3/7/11 9:52,16136,159.3,Gift Card
545712,3/7/11 9:52,18280,180.6,Bank Transfer
545713,3/7/11 10:11,16150,5232.89,Debit Card
545714,3/7/11 10:12,13239,504.46,Bank Transfer
545715,3/7/11 10:13,13941,786.23,Bank Transfer
545716,3/7/11 10:15,12910,912.69,Debit Card
545717,3/7/11 10:15,18257,638.94,Mobile Payments
545718,3/7/11 10:22,12614,315.6,Credit Card
545719,3/7/11 10:28,13344,1656.15,Debit Card
C545720,3/7/11 10:33,15039,-22.9,PayPal
545721,3/7/11 10:52,15039,590.5,Debit Card
545722,3/7/11 11:06,16013,475.2,PayPal
C545723,3/7/11 11:16,17048,-13.58,Gift Card
C545724,3/7/11 11:18,14051,-107.9,Credit Card
545725,3/7/11 11:32,16621,162.85,Bank Transfer
C545728,3/7/11 11:41,12484,-36.5,Cash
545738,3/7/11 11:44,17571,75.6,Credit Card
C545739,3/7/11 11:46,12754,-45.57,Credit Card
C545740,3/7/11 11:47,18257,-8.65,Debit Card
545748,3/7/11 11:52,17381,1588.68,Debit Card
545752,3/7/11 11:54,17381,431.28,Debit Card
545759,3/7/11 11:56,16316,806.05,Credit Card
545764,3/7/11 12:00,13408,294.17,Debit Card
C545769,3/7/11 12:05,14903,-11.7,Cash
C545773,3/7/11 12:06,17139,-15.2,Mobile Payments
545790,3/7/11 12:12,16316,17,PayPal
545797,3/7/11 12:17,16225,318.55,Credit Card
